5 11 17 :	 12, 33,  6;	11, 17, 23;	28,  1, 22
7 15 31 :	 46,  9, 38;	23, 31, 39;	24, 53, 16
1 4 34 :	 30, 37, 35;	39, 34, 29;	33, 31, 38
5 16 39 :	 34, 60, 23;	28, 39, 50;	55, 18, 44
2 3 34 :	 36, 29, 37;	35, 34, 33;	31, 39, 32
1 3 49 :	 52, 47, 48;	45, 49, 53;	50, 51, 46
3 15 41 :	 26, 53, 44;	59, 41, 23;	38, 29, 56
2 15 27 :	 29, 40, 12;	10, 27, 44;	42, 14, 25
3 9 38 :	 47, 32, 35;	26, 38, 50;	41, 44, 29
1 6 42 :	 43, 47, 36;	35, 42, 49;	48, 37, 41
3 9 42 :	 51, 36, 39;	30, 42, 54;	45, 48, 33
5 6 44 :	 39, 43, 50;	55, 44, 33;	38, 45, 49
5 6 32 :	 26, 33, 37;	43, 32, 21;	27, 31, 38
1 6 48 :	 42, 55, 47;	53, 48, 43;	49, 41, 54
3 12 17 :	  5, 26, 20;	32, 17,  2;	14,  8, 29
6 7 24 :	 30, 25, 17;	11, 24, 37;	31, 23, 18
5 6 19 :	 24,  8, 25;	20, 19, 18;	13, 30, 14
1 25 29 :	 28, 55,  4;	 5, 29, 53;	54,  3, 30
1 6 21 :	 22, 14, 27;	26, 21, 16;	15, 28, 20
3 4 49 :	 52, 42, 53;	50, 49, 48;	45, 56, 46
3 4 47 :	 50, 48, 43;	40, 47, 54;	51, 46, 44
2 19 27 :	 29,  6, 46;	44, 27, 10;	 8, 48, 25
2 14 37 :	 23, 49, 39;	53, 37, 21;	35, 25, 51
1 14 44 :	 58, 29, 45;	31, 44, 57;	43, 59, 30
12 14 32 :	 46, 30, 20;	 6, 32, 58;	44, 34, 18
2 7 39 :	 46, 34, 37;	30, 39, 48;	41, 44, 32
4 21 35 :	 14, 60, 31;	52, 35, 18;	39, 10, 56
3 18 39 :	 36, 60, 21;	24, 39, 54;	57, 18, 42
2 5 32 :	 30, 39, 27;	29, 32, 35;	37, 25, 34
4 6 31 :	 25, 41, 27;	33, 31, 29;	35, 21, 37
2 17 40 :	 42, 55, 23;	21, 40, 59;	57, 25, 38
4 16 34 :	 30, 54, 18;	22, 34, 46;	50, 14, 38
4 25 30 :	 55,  1, 34;	 9, 30, 51;	26, 59,  5
6 8 24 :	 30, 10, 32;	26, 24, 22;	16, 38, 18
2 3 18 :	 21, 13, 20;	17, 18, 19;	16, 23, 15
1 18 21 :	 20,  4, 39;	40, 21,  2;	 3, 38, 22
1 6 11 :	  5, 16, 12;	18, 11,  4;	10,  6, 17
6 8 18 :	 24, 20, 10;	 4, 18, 32;	26, 16, 12
8 13 35 :	 27, 30, 48;	56, 35, 14;	22, 40, 43
2 22 27 :	 25,  7, 49;	51, 27,  3;	 5, 47, 29
12 15 29 :	 41,  2, 44;	32, 29, 26;	14, 56, 17
2 13 45 :	 32, 56, 47;	60, 45, 30;	43, 34, 58
10 11 28 :	 17, 49, 18;	29, 28, 27;	38,  7, 39
7 20 31 :	 38,  4, 51;	44, 31, 18;	11, 58, 24
2 5 13 :	  8, 16, 15;	20, 13,  6;	11, 10, 18
3 22 29 :	 26, 54,  7;	10, 29, 48;	51,  4, 32
2 17 34 :	 17, 49, 36;	53, 34, 15;	32, 19, 51
5 11 19 :	 30,  3, 24;	13, 19, 25;	14, 35,  8
4 15 40 :	 44, 51, 25;	21, 40, 59;	55, 29, 36
2 8 31 :	 23, 41, 29;	37, 31, 25;	33, 21, 39
3 11 16 :	  5, 24, 19;	30, 16,  2;	13,  8, 27
2 11 42 :	 31, 51, 44;	55, 42, 29;	40, 33, 53
4 15 27 :	 12, 46, 23;	38, 27, 16;	31,  8, 42
1 27 29 :	  2, 57, 28;	55, 29,  3;	30,  1, 56
2 12 39 :	 41, 25, 51;	49, 39, 29;	27, 53, 37
2 20 28 :	 30,  6, 48;	46, 28, 10;	 8, 50, 26
7 16 26 :	 33,  3, 42;	35, 26, 17;	10, 49, 19
1 11 30 :	 31, 40, 19;	18, 30, 42;	41, 20, 29
5 14 20 :	 15, 39,  6;	11, 20, 29;	34,  1, 25
3 20 32 :	 52,  9, 35;	15, 32, 49;	29, 55, 12
1 23 28 :	 29, 50,  5;	 4, 28, 52;	51,  6, 27
5 16 28 :	 23, 49, 12;	17, 28, 39;	44,  7, 33
4 16 23 :	 19, 11, 39;	43, 23,  3;	 7, 35, 27
2 5 27 :	 25, 24, 32;	34, 27, 20;	22, 30, 29
2 14 17 :	  3, 29, 19;	33, 17,  1;	15,  5, 31
5 15 22 :	 17, 42,  7;	12, 22, 32;	37,  2, 27
7 10 21 :	 11, 24, 28;	38, 21,  4;	14, 18, 31
4 7 38 :	 42, 41, 31;	27, 38, 49;	45, 35, 34
9 14 33 :	 42, 10, 47;	38, 33, 28;	19, 56, 24
9 13 24 :	 37, 20, 15;	 2, 24, 46;	33, 28, 11
10 12 26 :	 38, 24, 16;	 4, 26, 48;	36, 28, 14
1 24 26 :	 50,  1, 27;	 3, 26, 49;	25, 51,  2
7 10 38 :	 48, 35, 31;	21, 38, 55;	45, 41, 28
1 3 19 :	 16, 23, 18;	21, 19, 17;	20, 15, 22
3 13 22 :	 19, 38,  9;	12, 22, 32;	35,  6, 25
7 18 35 :	 42, 46, 17;	10, 35, 60;	53, 24, 28
11 15 32 :	 47,  6, 43;	28, 32, 36;	21, 58, 17
2 5 45 :	 47, 48, 40;	38, 45, 52;	50, 42, 43
4 9 39 :	 48, 34, 35;	26, 39, 52;	43, 44, 30
7 9 24 :	 15, 40, 17;	26, 24, 22;	31,  8, 33
3 20 36 :	 56, 19, 33;	13, 36, 59;	39, 53, 16
6 18 33 :	 15, 57, 27;	45, 33, 21;	39,  9, 51
5 13 27 :	 32, 35, 14;	 9, 27, 45;	40, 19, 22
6 20 29 :	  9, 55, 23;	43, 29, 15;	35,  3, 49
2 8 33 :	 41, 27, 31;	23, 33, 43;	35, 39, 25
5 9 39 :	 44, 43, 30;	25, 39, 53;	48, 35, 34
4 7 39 :	 46, 36, 35;	28, 39, 50;	43, 42, 32
5 9 15 :	 10, 11, 24;	29, 15,  1;	 6, 19, 20
1 13 26 :	 13, 38, 27;	40, 26, 12;	25, 14, 39
13 15 29 :	 42,  1, 44;	31, 29, 27;	14, 57, 16
12 14 34 :	 20, 60, 22;	36, 34, 32;	46,  8, 48
5 6 48 :	 43, 47, 54;	59, 48, 37;	42, 49, 53
5 17 34 :	 17, 46, 39;	56, 34, 12;	29, 22, 51
1 19 37 :	 18, 57, 36;	55, 37, 19;	38, 17, 56
3 15 37 :	 34, 55, 22;	25, 37, 49;	52, 19, 40
2 7 33 :	 40, 28, 31;	24, 33, 42;	35, 38, 26
3 7 33 :	 36, 37, 26;	23, 33, 43;	40, 29, 30
4 18 29 :	 47,  7, 33;	15, 29, 43;	25, 51, 11
10 13 26 :	 39, 23, 16;	 3, 26, 49;	36, 29, 13
1 20 33 :	 13, 52, 34;	54, 33, 12;	32, 14, 53
7 17 26 :	 43, 16, 19;	 2, 26, 50;	33, 36,  9
3 16 22 :	 19, 41,  6;	 9, 22, 35;	38,  3, 25
